Rk,Player,Age,Pos,WAR,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,Awards
1,Jacob deGrom,29,SP,4.2,15,10,.600,3.53,31,31,0,1,0,0,201.1,180,87,79,28,59,5,239,2,0,7,827,117,3.50,1.187,8.0,1.3,2.6,10.7,4.05,CYA-8
2,Robert Gsellman,23,SP,-0.8,8,7,.533,5.19,25,22,1,1,0,0,119.2,138,85,69,17,42,3,82,8,0,4,549,80,4.89,1.504,10.4,1.3,3.2,6.2,1.95,
3,Rafael Montero,26,SP,0.0,5,11,.313,5.52,34,18,4,0,0,0,119.0,141,75,73,12,67,5,114,5,1,6,550,75,4.37,1.748,10.7,0.9,5.1,8.6,1.70,
4,Seth Lugo,27,SP,0.8,7,5,.583,4.71,19,18,1,0,0,0,101.1,114,57,53,13,25,1,85,2,1,2,436,88,3.95,1.372,10.1,1.2,2.2,7.5,3.40,
5,Matt Harvey,28,SP,-1.0,5,7,.417,6.70,19,18,0,0,0,0,92.2,110,70,69,21,47,3,67,6,1,6,431,62,6.37,1.694,10.7,2.0,4.6,6.5,1.43,
6,Zack Wheeler,27,SP,0.2,3,7,.300,5.21,17,17,0,0,0,0,86.1,97,53,50,15,40,1,81,3,0,1,386,79,5.03,1.587,10.1,1.6,4.2,8.4,2.03,
Rk,Player,Age,Pos,WAR,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,Awards
7,Addison Reed,28,CL,1.7,1,2,.333,2.57,48,0,31,0,0,19,49.0,49,14,14,6,6,1,48,0,0,1,200,162,3.16,1.122,9.0,1.1,1.1,8.8,8.00,
8,Paul Sewald,27,RP,0.1,0,6,.000,4.55,57,0,12,0,0,0,65.1,58,36,33,8,21,2,69,3,1,3,275,91,3.74,1.209,8.0,1.1,2.9,9.5,3.29,
9,Josh Smoker*,28,RP,-0.1,1,2,.333,5.11,54,0,7,0,0,0,56.1,64,34,32,10,32,7,68,3,0,2,267,81,4.92,1.704,10.2,1.6,5.1,10.9,2.13,
10,Jerry Blevins*,33,RP,1.4,6,0,1.000,2.94,75,0,5,0,0,1,49.0,43,16,16,4,24,2,69,4,0,2,217,141,3.12,1.367,7.9,0.7,4.4,12.7,2.88,
11,Fernando Salas,32,RP,-1.0,1,2,.333,6.00,48,0,7,0,0,0,45.0,60,35,30,7,20,6,47,0,0,4,214,69,4.42,1.778,12.0,1.4,4.0,9.4,2.35,
Rk,Player,Age,Pos,WAR,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,Awards
12,Steven Matz*,26,,-0.2,2,7,.222,6.08,13,13,0,0,0,0,66.2,83,46,45,12,19,2,48,3,0,1,298,68,5.05,1.530,11.2,1.6,2.6,6.5,2.53,
13,Hansel Robles,26,,0.1,7,5,.583,4.92,46,0,9,0,0,0,56.2,47,31,31,10,29,2,60,5,0,2,247,84,5.13,1.341,7.5,1.6,4.6,9.5,2.07,
14,Chris Flexen,22,,-1.1,3,6,.333,7.88,14,9,1,0,0,0,48.0,62,44,42,11,35,0,36,2,0,1,233,53,6.95,2.021,11.6,2.1,6.6,6.8,1.03,
15,Josh Edgin*,30,,0.6,0,1,.000,3.65,46,0,9,0,0,1,37.0,39,16,15,3,18,1,27,5,1,1,166,114,4.62,1.541,9.5,0.7,4.4,6.6,1.50,
16,Chasen Bradford,27,,0.3,2,0,1.000,3.74,28,0,7,0,0,0,33.2,30,17,14,3,13,1,27,0,0,1,143,111,3.87,1.277,8.0,0.8,3.5,7.2,2.08,
17,Noah Syndergaard,24,,0.5,1,2,.333,2.97,7,7,0,0,0,0,30.1,29,14,10,0,3,1,34,1,0,3,124,141,1.31,1.055,8.6,0.0,0.9,10.1,11.33,
18,Erik Goeddel,28,,0.0,0,1,.000,5.28,33,0,14,0,0,0,29.0,28,17,17,8,11,0,33,0,0,2,122,79,5.61,1.345,8.7,2.5,3.4,10.2,3.00,
19,Tommy Milone*,30,,-0.9,0,3,.000,8.56,11,5,1,0,0,0,27.1,36,28,26,9,12,3,22,0,0,0,128,49,7.15,1.756,11.9,3.0,4.0,7.2,1.83,
20,Jeurys Familia,27,,0.0,2,2,.500,4.38,26,0,15,0,0,6,24.2,21,14,12,1,15,3,25,1,0,1,111,96,3.60,1.459,7.7,0.4,5.5,9.1,1.67,
21,Tyler Pill,27,,-0.3,0,3,.000,5.32,7,3,1,0,0,0,22.0,22,16,13,3,10,2,16,2,0,0,99,79,5.11,1.455,9.0,1.2,4.1,6.5,1.60,
22,Neil Ramírez,28,,-0.2,0,1,.000,6.43,20,0,7,0,0,0,21.0,20,15,15,4,17,0,26,0,0,1,100,65,5.59,1.762,8.6,1.7,7.3,11.1,1.53,
23,AJ Ramos,30,,0.1,0,0,,4.74,21,0,17,0,0,7,19.0,19,10,10,3,12,0,25,0,0,3,87,89,4.47,1.632,9.0,1.4,5.7,11.8,2.08,
24,Jacob Rhame,24,,-0.3,1,1,.500,9.00,9,0,2,0,0,0,9.0,12,9,9,2,7,0,7,0,0,0,45,48,6.82,2.111,12.0,2.0,7.0,7.0,1.00,
25,Kevin McGowan,25,,0.0,0,0,,5.19,8,0,1,0,0,0,8.2,8,5,5,2,6,0,8,0,0,0,40,83,6.39,1.615,8.3,2.1,6.2,8.3,1.33,
26,Jamie Callahan,22,,0.0,0,0,,4.05,9,0,5,0,0,0,6.2,7,4,3,0,1,0,5,0,0,0,30,107,2.11,1.200,9.5,0.0,1.4,6.8,5.00,
27,Adam Wilk*,29,,-0.2,0,1,.000,12.27,1,1,0,0,0,0,3.2,8,6,5,3,1,0,2,0,0,0,20,37,13.52,2.455,19.6,7.4,2.5,4.9,2.00,
28,Sean Gilmartin*,27,,-0.2,0,0,,13.50,2,0,1,0,0,0,3.1,8,5,5,2,1,0,4,0,0,1,19,34,9.46,2.700,21.6,5.4,2.7,10.8,4.00,
29,Kevin Plawecki,26,,-0.1,0,0,,12.00,2,0,2,0,0,0,3.0,5,4,4,3,0,0,0,0,0,0,14,39,16.16,1.667,15.0,9.0,0.0,0.0,,
