Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB
Dobie Moore,29,SS,2.2,78,336,321,71,100,17,12,4,77,12,15,0.312,0.342,0.477,0.819,118,0.366,113,153
Hurley McNair*,36,RF,1.8,70,296,271,50,90,7,13,1,64,13,25,0.332,0.389,0.465,0.853,128,0.389,127,126
Dink Mothell#,27,2B,1.1,74,292,255,42,69,16,4,2,48,10,37,0.271,0.363,0.388,0.751,102,0.35,105,99
Newt Allen,24,2B,1.6,80,355,322,67,93,9,11,2,47,12,33,0.289,0.355,0.404,0.759,103,0.348,104,130
Wade Johnston*,27,CF,1.2,76,336,303,55,86,17,6,4,42,5,33,0.284,0.354,0.419,0.773,107,0.352,107,127
Bullet Rogan,31,P,1.8,50,139,125,24,45,7,8,2,40,6,14,0.36,0.424,0.592,1.016,170,0.45,163,74
Lemuel Hawkins*,29,1B,0.3,76,273,258,37,75,12,6,0,35,6,15,0.291,0.33,0.384,0.713,91,0.325,91,99
Newt Joseph,28,3B,1.1,52,209,198,26,64,12,2,1,30,8,11,0.323,0.359,0.419,0.778,108,0.356,108,83
George Sweatt,31,LF,0.0,50,183,162,20,39,6,4,1,16,3,21,0.241,0.328,0.346,0.674,81,0.314,84,56
Sylvester Foreman,29,C,0.3,48,146,127,17,30,4,2,1,15,0,19,0.236,0.336,0.323,0.658,78,0.314,83,41
Frank Duncan,24,C,0.1,51,168,146,22,34,3,0,1,13,2,22,0.233,0.333,0.274,0.607,65,0.296,74,40
Bill Drake,30,P,-0.1,22,48,45,2,6,0,0,1,6,1,3,0.133,0.188,0.2,0.388,4,0.185,6,9
Cliff Bell,28,P,0.4,17,40,34,4,9,5,0,0,3,0,6,0.265,0.375,0.412,0.787,111,0.365,114,14
Nelson Dean,26,P,-0.2,18,56,56,6,11,0,0,0,2,0,0,0.196,0.196,0.196,0.393,6,0.182,5,11
José Méndez,40,P,0.0,10,10,9,0,2,1,0,0,1,0,1,0.222,0.3,0.333,0.633,70,0.296,72,3
William Bell,27,P,-0.6,20,48,47,2,2,0,0,0,0,1,1,0.043,0.063,0.043,0.105,-71,0.056,-72,2
Chet Brewer#,18,P,0.3,11,16,14,2,7,0,0,0,0,0,2,0.5,0.563,0.5,1.063,188,0.499,194,7
Hop Bartlett,25,P,-0.1,3,8,8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,0.0,-104,0
